id	名称	描述	购买价格	价格类型	操作类型	跳转界面	按钮文本	icon路径	海报路径	原价	所属分页	购买次数	包含道具
2002006	六级海王皮	精炼服装时使用的物品，可提升80点精炼值（海贼团等级达到18级以上，可对乙级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none
2002007	七级海王皮	精炼服装时使用的物品，可提升160点精炼值（海贼团等级达到18级以上，可对乙级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none
2002008	八级海王皮	精炼服装时使用的物品，可提升320点精炼值（海贼团等级达到18级以上，可对乙级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none
2002009	九级海王皮	精炼服装时使用的物品，可提升640点精炼值（海贼团等级达到18级以上，可对乙级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none
2003001	一级星钻	精炼饰品时使用的物品，可提升2点精炼值（海贼团等级达到18级以上，可对乙级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none
2003002	二级星钻	精炼饰品时使用的物品，可提升5点精炼值（海贼团等级达到18级以上，可对乙级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none
2003003	三级星钻	精炼饰品时使用的物品，可提升10点精炼值（海贼团等级达到18级以上，可对乙级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none
2003004	四级星钻	精炼饰品时使用的物品，可提升20点精炼值（海贼团等级达到18级以上，可对乙级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none
2003005	五级星钻	精炼饰品时使用的物品，可提升40点精炼值（海贼团等级达到18级以上，可对乙级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none
2003006	六级星钻	精炼饰品时使用的物品，可提升x点精炼值（海贼团等级达到18级以上，可对乙级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none
2003007	七级星钻	精炼饰品时使用的物品，可提升x点精炼值（海贼团等级达到18级以上，可对乙级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none
2003008	八级星钻	精炼饰品时使用的物品，可提升x点精炼值（海贼团等级达到18级以上，可对乙级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none
2003009	九级星钻	精炼饰品时使用的物品，可提升x点精炼值（海贼团等级达到18级以上，可对乙级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none
2501001	海鲜饭	香吉士做的海鲜饭，会引起众人哄抢，所以尽快食用哦。使用后可增加12点体力	20	2	1	MessageBox.ccb	使用	itemposter/poster_item_haixianfan.png	itemposter/poster_item_haixianfan.png	0	0	0	none
2502001	激素针	通过荷尔蒙激素，瞬间恢复精力，重新投入战斗。使用后可增加12点精力	20	2	1	MessageBox.ccb	使用	itemposter/poster_item_jisuzhen.png	itemposter/poster_item_jisuzhen.png	0	0	0	none
2503001	挑战书	作为一名合格的海贼，要堂堂正正的向敌人宣战！使用后可增加3次决斗次数	28	2	1	MessageBox.ccb	使用	itemposter/poster_item_tiaozhanshu.png	itemposter/poster_item_tiaozhanshu.png	0	1	-1	none
3001001	木宝箱	木质的藏宝箱，打开后可能获得贝里、装备、奥义、金币道具，需要有木钥匙才能开启	999999	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_mubaoxiang.png	itemposter/poster_item_mubaoxiang.png	0	0	0	none
3001002	铜宝箱	铜质的藏宝箱，打开后可能获得贝里、装备、奥义、金币道具，需要有木钥匙才能开启	999999	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_tongbaoxiang.png	itemposter/poster_item_tongbaoxiang.png	0	0	0	none
3001003	银宝箱	银质的藏宝箱，打开后可能获得贝里、装备、奥义、金币道具，需要有木钥匙才能开启	5	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_yinbaoxiang.png	itemposter/poster_item_yinbaoxiang.png	0	1	-1	none
3001004	金宝箱	金质的藏宝箱，打开后可能获得贝里、装备、奥义、金币道具，需要有木钥匙才能开启	10	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_jinbaoxiang.png	itemposter/poster_item_jinbaoxiang.png	0	1	-1	none
3002001	木钥匙	用来打开木宝箱的钥匙	5	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_muyaoshi.png	itemposter/poster_item_muyaoshi.png	0	1	-1	none
3002002	铜钥匙	用来打开铜宝箱的钥匙	10	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_tongyaoshi.png	itemposter/poster_item_tongyaoshi.png	0	1	-1	none
3002003	银钥匙	用来打开银宝箱的钥匙	15	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_yinyaoshi.png	itemposter/poster_item_yinyaoshi.png	0	1	-1	none
3002004	金钥匙	用来打开金宝箱的钥匙	20	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_jinyaoshi.png	itemposter/poster_item_jinyaoshi.png	0	1	-1	none
3501001	VIP1尊享礼包	VIP1独享礼包，原价48金币，只能购买一次，点击图标可预览礼包内容。	8	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	48	2	1	11001:1002:10000,61001:3002001:2,61001:3002002:2
3501002	VIP2尊享礼包	VIP2独享礼包，原价248金币，只能购买一次，点击图标可预览礼包内容。	48	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	248	2	1	11001:1002:50000,61001:3002001:5,61001:3002002:5,41003:69:2
3501003	VIP3尊享礼包	VIP3独享礼包，原价480金币，只能购买一次，点击图标可预览礼包内容。	98	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	480	2	1	11001:1002:100000,61001:3002001:10,61001:3002002:10,41002:44:1
3501004	VIP4尊享礼包	VIP4独享礼包，原价880金币，只能购买一次，点击图标可预览礼包内容。	168	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	880	2	1	11001:1002:200000,41001:22:1,61001:3001003:10,61001:3002003:10
3501005	VIP5尊享礼包	VIP5独享礼包，原价1980金币，只能购买一次，点击图标可预览礼包内容。	298	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	1980	2	1	11001:1002:500000,61001:1502001:300,53002:75:1,61001:2503001:5
3501006	VIP6尊享礼包	VIP6独享礼包，原价2980金币，只能购买一次，点击图标可预览礼包内容。	498	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	2980	2	1	11001:1002:800000,61001:1502001:500,52002:49:1,61001:3001003:25,61001:3002003:25
3501007	VIP7尊享礼包	VIP7独享礼包，原价4990金币，只能购买一次，点击图标可预览礼包内容。	998	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	4990	2	1	11001:1002:1000000,61001:1502001:800,51002:17:1,61001:1503002:5
3501008	VIP8尊享礼包	VIP8独享礼包，原价9990金币，只能购买一次，点击图标可预览礼包内容。	1998	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	9990	2	1	11001:1002:2000000,61001:1502001:1000,52002:46:1,61001:3001004:30,61001:3002004:30
3501009	VIP9尊享礼包	VIP9独享礼包，原价16880金币，只能购买一次，点击图标可预览礼包内容。	2998	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	16880	2	1	11001:1002:5000000,51001:5:1,53001:74:1,61001:3001004:50,61001:3002004:50
3501010	VIP10尊享礼包	VIP10独享礼包，原价18880金币，只能购买一次，点击图标可预览礼包内容。	3698	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	18880	2	1	11001:1002:8000000,53001:69:1,41001:17:1,52002:47:1
3501011	VIP11尊享礼包	VIP11独享礼包，原价23880金币，只能购买一次，点击图标可预览礼包内容。	4698	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	23880	2	1	11001:1002:10000000,53002:76:1,51001:5:1,52001:42:1
3501012	VIP12尊享礼包	VIP12独享礼包，原价29980金币，只能购买一次，点击图标可预览礼包内容。	5698	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	29880	2	1	11001:1002:15000000,53001:70:1,51001:3:1,52001:41:1
3501013	VIP13尊享礼包	VIP13独享礼包，原价36980金币，只能购买一次，点击图标可预览礼包内容。	6998	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	36980	2	1	11001:1002:20000000,51001:2:1,53001:68:1,52001:40:1,61001:3001004:100,61001:3002004:100
3502001	优惠礼包	里面包含空白海盗旗x1、高级传承药剂x1，银两x100000，只售10金币。每位船长限购一次，欲购从速！	10	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	500	2	1	61001:2501001:2,61001:1503002:1,11001:1002:50000,41002:38:1
3503001	新手礼包	驶向伟大航路吧！打开后获得贝里、技能奥义、各类药剂。	0	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	0	0	0	11001:1002:20000,53004:89:1,41002:44:1,61001:2501001:1
